singular	plural	source
بريزة	براءز	qalsadi-nouns
بزال	ابزلة	qalsadi-nouns
بزر	بزور	qalsadi-nouns
بزر	ابزارجابازير	qalsadi-nouns
بزيم	بزم	qalsadi-nouns
بزيمة	بزاءم	qalsadi-nouns
بساط	بسط	qalsadi-nouns
بستان	بساتين	qalsadi-nouns
بسر	بسار	qalsadi-nouns
بسرة	واحدةالبسر	qalsadi-nouns
بسيط	بسطاء	qalsadi-nouns
بسيط	بسطجبساء	qalsadi-nouns
بشامة	واحدةالبشام	qalsadi-nouns
بشرا	بشريات	qalsadi-nouns
بشرا	بشر	qalsadi-nouns
بشماط	بشاميط	qalsadi-nouns
بشير	بشراء	qalsadi-nouns
بصر	ابصار	qalsadi-nouns
بصلة	بصل	qalsadi-nouns
بصير	بصراء	qalsadi-nouns
بصيرة	بصاءر	qalsadi-nouns
بضاعة	بضاءع	qalsadi-nouns
بط	بطوط	qalsadi-nouns
بط	بطاطللمذكروالمءنث	qalsadi-nouns
بطاح	مفردبطحاء	qalsadi-nouns
بطاقة	بطاءق	qalsadi-nouns
بطان	ابطنة	qalsadi-nouns
بطان	بطن	qalsadi-nouns
بطانة	بطاءن	qalsadi-nouns
بطة	واحدةالبط	qalsadi-nouns
بطحاء	بطاح	qalsadi-nouns
بطحاء	بطاءح	qalsadi-nouns
بطريرك	بطاركة	qalsadi-nouns
بطريق	بطاريق	qalsadi-nouns
بطل	ابطال	qalsadi-nouns
بطن	بطون	qalsadi-nouns
بطن	ابطن	qalsadi-nouns
بعبع	بعابع	qalsadi-nouns
بعث	بعوث	qalsadi-nouns
بعد	ابعاد	qalsadi-nouns
بعرة	ابعار	qalsadi-nouns
بعرة	واحدةالبعر	qalsadi-nouns
بعض	ابعاض	qalsadi-nouns
بعل	بعول	qalsadi-nouns
بعوضة	واحدةالبعوض	qalsadi-nouns
بعيد	بعداء	qalsadi-nouns
بعير	اباعر	qalsadi-nouns
بغريرة	واحدةالبغرير	qalsadi-nouns
بغل	ابغال	qalsadi-nouns
بغل	بغال	qalsadi-nouns
بغي	بغايا	qalsadi-nouns
بقراج	بقاريج	qalsadi-nouns
بقعة	بقع	qalsadi-nouns
بقعة	بقاع	qalsadi-nouns
بقل	بقول	qalsadi-nouns
بقية	بقايا	qalsadi-nouns
بكر	ابكار	qalsadi-nouns
بكرة	بكر	qalsadi-nouns
بلاد	مفردبلد	qalsadi-nouns
بلاطة	واحدةالبلاط	qalsadi-nouns
بلبل	بلابل	qalsadi-nouns
بلد	بلاد	qalsadi-nouns
بلد	بلدان	qalsadi-nouns
بلسم	بلاسم	qalsadi-nouns
بلعم	بلاعم	qalsadi-nouns
بلعم	بلعوم	qalsadi-nouns
بلعم	بلاعيم	qalsadi-nouns
بلقاء	مذكرابلق	qalsadi-nouns
بلوا	بلايا	qalsadi-nouns
بلوطة	واحدةالبلوط	qalsadi-nouns
بلية	بلايا	qalsadi-nouns
بليد	جبلداء	qalsadi-nouns
بليغ	بلغاء	qalsadi-nouns
بليغ	بليغات	qalsadi-nouns
بناء	ابنية	qalsadi-nouns
بنت	بنات	qalsadi-nouns
بند	بنود	qalsadi-nouns
بندقية	بنادق	qalsadi-nouns
بندير	بنادير	qalsadi-nouns
بنصر	بناصر	qalsadi-nouns
بنطال	بناطيل	qalsadi-nouns
بنفسجة	بنفسج	qalsadi-nouns
بنك	بنوك	qalsadi-nouns
بنية	بنا	qalsadi-nouns
بهات	بهت	qalsadi-nouns
بهلول	بهاليل	qalsadi-nouns
بهو	ابهاء	qalsadi-nouns
بهيمة	بهاءم	qalsadi-nouns
بواسير	مفردباسور	qalsadi-nouns
بوع	ابواع	qalsadi-nouns
بوغاز	بواغيز	qalsadi-nouns
بوق	ابواق	qalsadi-nouns
بوقال	بواقيل	qalsadi-nouns
بول	ابوال	qalsadi-nouns
بيت	بيوت	qalsadi-nouns
بيت	ابياتجبيوتات	qalsadi-nouns
بيداء	بيد	qalsadi-nouns
بيداء	بيداوات	qalsadi-nouns
بيدر	بيادر	qalsadi-nouns
بيذق	بياذق	qalsadi-nouns
بيضاء	مذكرابيضبيض	qalsadi-nouns
بيضة	بيوض	qalsadi-nouns
بيطار	بياطرة	qalsadi-nouns
بيع	بيوع	qalsadi-nouns
بيعة	بيع	qalsadi-nouns
تابع	توابع	qalsadi-nouns
تابل	توابل	qalsadi-nouns
تابوت	توابيت	qalsadi-nouns
تاج	تيجان	qalsadi-nouns
تاجر	تجار	qalsadi-nouns
تاجر	تواجر	qalsadi-nouns
تاريخ	تواريخ	qalsadi-nouns
تافه	توافه	qalsadi-nouns
تافه	تافهات	qalsadi-nouns
تالي	توال	qalsadi-nouns
تالي	التوالي	qalsadi-nouns
تاليف	تءليف	qalsadi-nouns
تباشير	بصيغةالجمع	qalsadi-nouns
تبان	تبابين	qalsadi-nouns
تبن	الواحدةتبنة	qalsadi-nouns
تجاعيد	مفردجعدة	qalsadi-nouns
تجربة	تجارب	qalsadi-nouns
تحفة	تحف	qalsadi-nouns
تحية	تحايا	qalsadi-nouns
تخت	تخوت	qalsadi-nouns
تخمة	تخم	qalsadi-nouns
تدبير	تدابير	qalsadi-nouns
تدرج	تدارج	qalsadi-nouns
تذكرة	تذاكر	qalsadi-nouns
تذكير	تفاصيل	qalsadi-nouns
تراءب	مفردتريبة	qalsadi-nouns
تراب	اتربة	qalsadi-nouns
تراويح	مفردترويحة	qalsadi-nouns
ترب	اتراب	qalsadi-nouns
تربة	ترب	qalsadi-nouns
ترتيلة	تراتيل	qalsadi-nouns
ترجمان	تراجمة	qalsadi-nouns
ترجمة	تراجم	qalsadi-nouns
ترح	اتراح	qalsadi-nouns
ترس	اتراس	qalsadi-nouns
ترس	تروس	qalsadi-nouns
ترعة	ترع	qalsadi-nouns
ترقوة	تراق	qalsadi-nouns
ترقوة	التراقي	qalsadi-nouns
تركيب	تراكيب	qalsadi-nouns
تركيب	تركيبات	qalsadi-nouns
ترنيمة	ترانيم	qalsadi-nouns
تريبة	تراءبنتراءب	qalsadi-nouns
تسبيحة	تسابيح	qalsadi-nouns
تسع	اتساع	qalsadi-nouns
تسعة	مذكرتسع	qalsadi-nouns
تصانيف	مفردتصنيف	qalsadi-nouns
تصاوير	مفردتصويرة	qalsadi-nouns
تصميم	تصاميم	qalsadi-nouns
تصنيف	تصانيف	qalsadi-nouns
تصويرة	تصاوير	qalsadi-nouns
تضريس	تضاريس	qalsadi-nouns
تعب	اتعاب	qalsadi-nouns
تعبير	تعابير	qalsadi-nouns
تعريف	تعريفات	qalsadi-nouns
تعزية	تعاز	qalsadi-nouns
تعزية	التعازي	qalsadi-nouns
تعليق	تعاليق	qalsadi-nouns
تعويذ	تعاويذ	qalsadi-nouns
تف	تففة	qalsadi-nouns
تفاح	تفافيح	qalsadi-nouns
تفاحة	واحدةالتفاح	qalsadi-nouns
تفاريج	مفردتفراج	qalsadi-nouns
تفاهة	توافه	qalsadi-nouns
تفرجة	تفارج	qalsadi-nouns
تفرجة	تفاريج	qalsadi-nouns
تفسير	تفاسير	qalsadi-nouns
تفسير	تفسيرات	qalsadi-nouns
تفصيل	تفاصيل	qalsadi-nouns
تقاطيع	مفردتقطيع	qalsadi-nouns
تقاليد	مفردتقليد	qalsadi-nouns
تقسيم	تقاسيم	qalsadi-nouns
تقطيع	تقاطيع	qalsadi-nouns
تقليد	تقاليد	qalsadi-nouns
تقي	اتقياء	qalsadi-nouns
تكة	تكك	qalsadi-nouns
تكلفة	تكاليف	qalsadi-nouns
تكليف	تكاليف	qalsadi-nouns
تكوين	تكاوين	qalsadi-nouns
تكية	تكايا	qalsadi-nouns
تل	تلال	qalsadi-nouns
تل	تلول	qalsadi-nouns
تلام	تلم	qalsadi-nouns
تلبيب	تلابيب	qalsadi-nouns
تلة	تلالواحدةالتل	qalsadi-nouns
تلحين	تلاحين	qalsadi-nouns
تلعة	تلاع	qalsadi-nouns
تلعة	تلع	qalsadi-nouns
تلم	اتلام	qalsadi-nouns
تلم	تلام	qalsadi-nouns
تلميذ	تلاميذ	qalsadi-nouns
تلميذ	تلامذة	qalsadi-nouns
تلو	اتلاء	qalsadi-nouns
تلوين	تلاوين	qalsadi-nouns
تليد	اتلاد	qalsadi-nouns
تم	تمم	qalsadi-nouns
تم	تممة	qalsadi-nouns
تمثال	تماثيل	qalsadi-nouns
تمر	تمور	qalsadi-nouns
تمراد	تماريد	qalsadi-nouns
تمرين	تمارين	qalsadi-nouns
تمساح	تماسيح	qalsadi-nouns
تميمة	تماءم	qalsadi-nouns
تنجرة	تناجر	qalsadi-nouns
تنور	تنانير	qalsadi-nouns
تنين	تنانين	qalsadi-nouns
تهمة	تهم	qalsadi-nouns
تهنءة	تهنءات	qalsadi-nouns
تهويل	تهاويل	qalsadi-nouns
تو	اتواء	qalsadi-nouns
توابع	مفردتابع	qalsadi-nouns
توام	تواءم	qalsadi-nouns
توام	مثناتوامان	qalsadi-nouns
توقيع	تواقيع	qalsadi-nouns
توه	اتواه	qalsadi-nouns
توه	اتاويه	qalsadi-nouns
توه	اتواهجاتاويه	qalsadi-nouns
تيس	تيوس	qalsadi-nouns
تيس	اتياس	qalsadi-nouns
تيه	اتياه	qalsadi-nouns
تيه	اتاويه	qalsadi-nouns
ثءلول	ثءليل	qalsadi-nouns
ثاءر	ثوار	qalsadi-nouns
ثاءر	ثواءر	qalsadi-nouns
ثابت	ثوابت	qalsadi-nouns
ثار	اثءر	qalsadi-nouns
ثار	ثارات	qalsadi-nouns
ثاكل	ثواكل	qalsadi-nouns
ثانية	ثوان	qalsadi-nouns
ثبان	ثبن	qalsadi-nouns
ثبت	اثبات	qalsadi-nouns
ثخين	ثخناء	qalsadi-nouns
ثدي	اثديذكرويء	qalsadi-nouns
ثرا	اثراء	qalsadi-nouns
ثري	اثرياء	qalsadi-nouns
ثريد	ثراءد	qalsadi-nouns
ثعبان	ثعابينيطلقعلاالذ	qalsadi-nouns
ثعلب	ثعالب	qalsadi-nouns
ثغر	ثغور	qalsadi-nouns
ثغرة	ثغر	qalsadi-nouns
ثقاب	ثقب	qalsadi-nouns
ثقاف	اثقفة	qalsadi-nouns
ثقاف	ثقف	qalsadi-nouns
ثقب	اثقاب	qalsadi-nouns
ثقب	ثقوب	qalsadi-nouns
ثقبة	ثقب	qalsadi-nouns
ثقل	مثناثقلانثقلان	qalsadi-nouns
ثقل	اثقال	qalsadi-nouns
ثقيل	ثقلاء	qalsadi-nouns
ثقيل	ثقيلات	qalsadi-nouns
ثكلا	ثكالا	qalsadi-nouns
ثكلان	رجلثكلان	qalsadi-nouns
ثكنة	ثكن	qalsadi-nouns
ثلاث	عددمفردمعدودهجم	qalsadi-nouns
ثلاثاء	ثلاثاءات	qalsadi-nouns
ثلاثاء	اثاليث	qalsadi-nouns
ثلاثة	مفردمعدودهجمعمذك	qalsadi-nouns
ثلة	ثلل	qalsadi-nouns
ثلث	اثلاث	qalsadi-nouns
ثلج	ثلوج	qalsadi-nouns
ثلجة	واحدةالثلج	qalsadi-nouns
ثلم	اثلام	qalsadi-nouns
ثمالة	ثمال	qalsadi-nouns
ثمر	ثمارجاثمار	qalsadi-nouns
ثمن	اثمان	qalsadi-nouns
ثمن	اثمنة	qalsadi-nouns
ثناء	اثنية	qalsadi-nouns
ثني	اثناء	qalsadi-nouns
ثنية	ثنايا	qalsadi-nouns
ثوابت	مفردثابتة	qalsadi-nouns
ثوب	ثياب	qalsadi-nouns
ثوب	اثواب	qalsadi-nouns
ثور	ثيران	qalsadi-nouns
جاءب	جواءب	qalsadi-nouns
جاءحة	جواءح	qalsadi-nouns
جاءزة	جواءز	qalsadi-nouns
جاءع	جياع	qalsadi-nouns
جاءع	جوع	qalsadi-nouns
جابي	جباة	qalsadi-nouns
جابية	جواب	qalsadi-nouns
جابية	الجوابي	qalsadi-nouns
جاثم	جثم	qalsadi-nouns
جاثوم	جواثيم	qalsadi-nouns
جاثي	جثاة	qalsadi-nouns
جادة	جواد	qalsadi-nouns
جادوف	جواديف	qalsadi-nouns
جار	جيران	qalsadi-nouns
جارحة	جوارح	qalsadi-nouns
جاروش	جواريش	qalsadi-nouns
جاروف	جواريف	qalsadi-nouns
جارية	جوار	qalsadi-nouns
جازم	جوازم	qalsadi-nouns
جاسوس	جواسيس	qalsadi-nouns
جافي	جفاة	qalsadi-nouns
جافي	جواف	qalsadi-nouns
جالس	جلوس	qalsadi-nouns
جالس	جلاس	qalsadi-nouns
جالية	جوال	qalsadi-nouns
جام	اجوام	qalsadi-nouns
جامح	جوامح	qalsadi-nouns
جامد	جوامد	qalsadi-nouns
جامع	جوامع	qalsadi-nouns
جامعة	مءنثالجامع	qalsadi-nouns
جاموس	جواميس	qalsadi-nouns
جان	جنان	qalsadi-nouns
جانب	جوانب	qalsadi-nouns
جانح	جوانح	qalsadi-nouns
جاني	جناة	qalsadi-nouns
جاهل	جهال	qalsadi-nouns
جاهل	جهلاء	qalsadi-nouns
جاهل	جهلة	qalsadi-nouns
جب	اجباب	qalsadi-nouns
جب	جباب	qalsadi-nouns
جبار	جبابرة	qalsadi-nouns
جبان	جبناء	qalsadi-nouns
جبة	جبب	qalsadi-nouns
جبة	جباب	qalsadi-nouns
جبح	اجباح	qalsadi-nouns
جبس	اجباس	qalsadi-nouns
جبل	جبال	qalsadi-nouns
جبل	اجبال	qalsadi-nouns
جبهة	جباه	qalsadi-nouns
جبين	اجبنة	qalsadi-nouns
جدث	اجداث	qalsadi-nouns
جدجد	اجداث	qalsadi-nouns
جدر	جدران	qalsadi-nouns
جدر	اجدار	qalsadi-nouns
جدول	جداول	qalsadi-nouns
جدي	جديانالذكرمناولا	qalsadi-nouns
جديد	مثناجديدانالجديدان	qalsadi-nouns
جديد	ات	qalsadi-nouns
جديد	اجدة	qalsadi-nouns
جديد	جدد	qalsadi-nouns
جدير	جدراء	qalsadi-nouns
جديل	جدل	qalsadi-nouns
جديلة	جداءل	qalsadi-nouns
جذ	اجذاذ	qalsadi-nouns
جذر	جذور	qalsadi-nouns
جذع	جذعان	qalsadi-nouns
جذع	جذاع	qalsadi-nouns
جذع	جذوع	qalsadi-nouns
جذع	اجذاع	qalsadi-nouns
جذل	اجذال	qalsadi-nouns
جذل	جذال	qalsadi-nouns
جذل	جذول	qalsadi-nouns
جذلان	جذلانمءجذلا	qalsadi-nouns
جذوة	جذا	qalsadi-nouns
جذوة	جذاء	qalsadi-nouns
جراب	اجربة	qalsadi-nouns
جراب	جرب	qalsadi-nouns
جراحة	جراح	qalsadi-nouns
جرادة	جراد	qalsadi-nouns
جرارة	مءنثالجرار	qalsadi-nouns
جرباء	مءنثاجرب	qalsadi-nouns
جربان	جربا	qalsadi-nouns
جرة	جرار	qalsadi-nouns
جرة	جر	qalsadi-nouns
جرة	جرر	qalsadi-nouns
جرثوم	جراثيم	qalsadi-nouns
جرجة	جرج	qalsadi-nouns
جرح	جراح	qalsadi-nouns
جرح	اجراح	qalsadi-nouns
جرح	جراحات	qalsadi-nouns
جرداء	مءنثاجرد	qalsadi-nouns
جرذ	جرذان	qalsadi-nouns
جرز	اجراز	qalsadi-nouns
جرس	اجراس	qalsadi-nouns
جرس	جروس	qalsadi-nouns
جرف	اجراف	qalsadi-nouns
جرف	جروف	qalsadi-nouns
جرف	جرفة	qalsadi-nouns
جرم	اجرام	qalsadi-nouns
جرو	جراء	qalsadi-nouns
جري	اجرياء	qalsadi-nouns
جريح	جرحا	qalsadi-nouns
جريد	جراءد	qalsadi-nouns
جرير	اجرة	qalsadi-nouns
جرير	جران	qalsadi-nouns
جريمة	جراءم	qalsadi-nouns
جزء	اجزاء	qalsadi-nouns
جزور	جزاءر	qalsadi-nouns
جزور	جزر	qalsadi-nouns
جزيء	جزيءيات	qalsadi-nouns
جزية	جزاء	qalsadi-nouns
جزيرة	جزاءر	qalsadi-nouns
جزيرة	جزر	qalsadi-nouns
جزيل	اجزال	qalsadi-nouns
جزيل	جزال	qalsadi-nouns
جسد	اجساد	qalsadi-nouns
جسر	جسور	qalsadi-nouns
جسم	اجسام	qalsadi-nouns
جسم	جسوم	qalsadi-nouns
جسور	جسر	qalsadi-nouns
جش	جشاش	qalsadi-nouns
جشاة	واحدةالجشاء	qalsadi-nouns
جشع	جشعان	qalsadi-nouns
جعبة	جعاب	qalsadi-nouns
جعد	جعاد	qalsadi-nouns
جعل	جعلان	qalsadi-nouns
جفرة	جفر	qalsadi-nouns
جفرة	جفار	qalsadi-nouns
جفل	جفول	qalsadi-nouns
جفن	اجفان	qalsadi-nouns
جفن	جفون	qalsadi-nouns
جفنة	جفان	qalsadi-nouns
جفنة	جفن	qalsadi-nouns
جلباب	جلابيب	qalsadi-nouns
جلد	اجلاد	qalsadi-nouns
جلد	جلود	qalsadi-nouns
جلدة	جلد	qalsadi-nouns
جلف	اجلاف	qalsadi-nouns
جلفة	جلف	qalsadi-nouns
جلمود	جلاميد	qalsadi-nouns
جليد	ججلداءوجلاد	qalsadi-nouns
جليس	جلساء	qalsadi-nouns
جليل	اجلاء	qalsadi-nouns
جليل	اجلة	qalsadi-nouns
جم	جمام	qalsadi-nouns
جم	جموم	qalsadi-nouns
جمادا	جماديات	qalsadi-nouns
جمار	مفردجمرة	qalsadi-nouns
جمة	جمم	qalsadi-nouns
جمجمة	جماجم	qalsadi-nouns
جمد	اجماد	qalsadi-nouns
جمد	جماد	qalsadi-nouns
جمر	مفردجمرة	qalsadi-nouns
جمرة	جمار	qalsadi-nouns
جمرة	جمر	qalsadi-nouns
جمرك	جمارك	qalsadi-nouns
جمع	اجماع	qalsadi-nouns
جمع	جموع	qalsadi-nouns
جمعة	جمع	qalsadi-nouns
جمل	جمال	qalsadi-nouns
جملة	جمل	qalsadi-nouns
جمهور	جماهير	qalsadi-nouns
جمهورية	يات	qalsadi-nouns
جميم	اجماء	qalsadi-nouns
جنا	اجناء	qalsadi-nouns
جنا	اجن	qalsadi-nouns
جناح	اجنحةمثناجناحان	qalsadi-nouns
جنازة	جناءز	qalsadi-nouns
جنان	اجنان	qalsadi-nouns
جنب	اجناب	qalsadi-nouns
جنب	جنوب	qalsadi-nouns
جنة	جنان	qalsadi-nouns
جنحة	جنح	qalsadi-nouns
جند	جنود	qalsadi-nouns
جند	اجناد	qalsadi-nouns
جندب	جنادب	qalsadi-nouns
جندل	جنادل	qalsadi-nouns
جنس	اجناس	qalsadi-nouns
جنوب	جناءب	qalsadi-nouns
جني	جن	qalsadi-nouns
جنين	اجنة	qalsadi-nouns
جهاز	اجهزة	qalsadi-nouns
جهبذ	جهابذة	qalsadi-nouns
جهد	جهود	qalsadi-nouns
جهول	جهلاء	qalsadi-nouns
جهير	ججهراءججهاءر	qalsadi-nouns
جو	اجواء	qalsadi-nouns
جو	جواء	qalsadi-nouns
جواءب	مفردجاءبة	qalsadi-nouns
جواب	اجوبة	qalsadi-nouns
جواد	اجواد	qalsadi-nouns
جواد	اجاويد	qalsadi-nouns
جواد	جياد	qalsadi-nouns
جواد	اجياد	qalsadi-nouns
جواز	اجوزة	qalsadi-nouns
جوالق	جواليق	qalsadi-nouns
جوانب	مفردجانب	qalsadi-nouns
جوانح	مفردجانحة	qalsadi-nouns
جوخ	اجواخ	qalsadi-nouns
جورب	جوارب	qalsadi-nouns
جوسق	جواسق	qalsadi-nouns
جوسق	جواسيق	qalsadi-nouns
جوعان	جياعمءجوعا	qalsadi-nouns
جوف	اجواف	qalsadi-nouns
جوق	اجواق	qalsadi-nouns
جول	اجوال	qalsadi-nouns
جون	اجوان	qalsadi-nouns
جوهر	جواهر	qalsadi-nouns
جيب	جيوب	qalsadi-nouns
جيد	اجياد	qalsadi-nouns
جيد	جيود	qalsadi-nouns
جيد	فهوجيدججيادوجياءد	qalsadi-nouns
جيش	جيوش	qalsadi-nouns
جيفة	جيف	qalsadi-nouns
جيفة	اجياف	qalsadi-nouns
جيل	اجيال	qalsadi-nouns
حاءر	حيران	qalsadi-nouns
حاءر	حوران	qalsadi-nouns
حاءر	حواءر	qalsadi-nouns
حاءط	حيطان	qalsadi-nouns
حاءك	حاكة	qalsadi-nouns
حاءك	حوكة	qalsadi-nouns
حاءك	حواءك	qalsadi-nouns
حاءل	حول	qalsadi-nouns
حاءل	حواءل	qalsadi-nouns
حابلة	حبلة	qalsadi-nouns
حاج	حجاج	qalsadi-nouns
حاج	حجيج	qalsadi-nouns
حاجب	حواجب	qalsadi-nouns
حاجة	حواءج	qalsadi-nouns
حاجز	حواجز	qalsadi-nouns
حادث	حوادث	qalsadi-nouns
حادي	حداة	qalsadi-nouns
حاذق	حذاق	qalsadi-nouns
حارث	حراث	qalsadi-nouns
حارس	حرس	qalsadi-nouns
حارس	حراس	qalsadi-nouns
حاسب	حسبة	qalsadi-nouns
حاسب	حواسب	qalsadi-nouns
حاسة	حواس	qalsadi-nouns
حاسد	حساد	qalsadi-nouns
حاسد	حسدة	qalsadi-nouns
حاسد	حسد	qalsadi-nouns
حاسوب	حواسيب	qalsadi-nouns
حاشر	حشار	qalsadi-nouns
حاشية	حواش	qalsadi-nouns
حاشية	الحواشي	qalsadi-nouns
حاصب	حواصب	qalsadi-nouns
حاصد	حصدة	qalsadi-nouns
حاصد	حصاد	qalsadi-nouns
حاصرة	حواصر	qalsadi-nouns
حاصل	حواصل	qalsadi-nouns
حاضر	حضور	qalsadi-nouns
حاضر	حضر	qalsadi-nouns
حاضر	حواضر	qalsadi-nouns
حاضن	حواضن	qalsadi-nouns
حاف	مثناافانالحافان	qalsadi-nouns
حافة	حيف	qalsadi-nouns
حافر	حوافر	qalsadi-nouns
حافز	حوافز	qalsadi-nouns
حافظ	حفظ	qalsadi-nouns
حافظ	حفظة	qalsadi-nouns
حافل	حفل	qalsadi-nouns
حافل	حوافل	qalsadi-nouns
حافي	حفاة	qalsadi-nouns
حافي	حواف	qalsadi-nouns
حاقد	حقدة	qalsadi-nouns
حاكم	حكام	qalsadi-nouns
حال	احوال	qalsadi-nouns
حالب	حلبة	qalsadi-nouns
حالب	حوالب	qalsadi-nouns
حالب	مثناحالبانالحالبان	qalsadi-nouns
حامل	حملة	qalsadi-nouns
حامل	حمال	qalsadi-nouns
حامل	حوامل	qalsadi-nouns
حامولة	حواميل	qalsadi-nouns
حامي	حماة	qalsadi-nouns
حامي	حامية	qalsadi-nouns
حامي	حوام	qalsadi-nouns
حانوت	حوانيت	qalsadi-nouns
حاوي	حواة	qalsadi-nouns
حب	حبوب	qalsadi-nouns
حب	حبان	qalsadi-nouns
حبارا	حبارياتللذكروالانث	qalsadi-nouns
حبال	حبالة	qalsadi-nouns
حبالة	حباءل	qalsadi-nouns
حبر	احبار	qalsadi-nouns
حبر	حبور	qalsadi-nouns
حبرير	حبارير	qalsadi-nouns
حبس	احباس	qalsadi-nouns
حبس	حبوس	qalsadi-nouns
حبش	احباش	qalsadi-nouns
حبكة	حبك	qalsadi-nouns
حبل	حبال	qalsadi-nouns
حبل	احبال	qalsadi-nouns
